Running bpa_pyriscv/riscv_isa/programs/benchmarks/median.riscv
                   0: PC: xxxxxxxx, IR: xxxxxxxx
                 143: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 144: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 145: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 146: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 147: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 148: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 149: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 150: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 151: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 152: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 153: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 154: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 155: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 156: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 157: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 158: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 159: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 160: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 161: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 162: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 163: PC: 800023ac, IR: 00008067, ret
                 164: PC: 80002a9c, IR: 00090593, addi a1,s2,0x0
                 165: PC: 80002aa0, IR: 00048513, addi a0,s1,0x0
                 166: PC: 80002aa4, IR: 849ff0ef, jal ra,0x800022ec
                 167: PC: 800022ec, IR: 00051063, bnez a0,0x800022ec
                 168: PC: 800022f0, IR: 00008067, ret
                 169: PC: 80002aa8, IR: 00000593, li a1,0x0
                 170: PC: 80002aac, IR: 00000513, li a0,0x0
                 171: PC: 80002ab0, IR: d50ff0ef, jal ra,0x80002000
                 172: PC: 80002000, IR: 9b010113, addi sp,sp,0x-650
                 173: PC: 80002004, IR: 64112623, sw ra,0x64c(sp)
                 174: PC: 80002008, IR: 64812423, sw s0,0x648(sp)
                 175: PC: 8000200c, IR: 00002417, auipc s0,0x2000
                 176: PC: 80002010, IR: ad040413, addi s0,s0,0x-530
                 177: PC: 80002014, IR: 00010613, addi a2,sp,0x0
                 178: PC: 80002018, IR: 00040593, addi a1,s0,0x0
                 179: PC: 8000201c, IR: 19000513, li a0,0x190
                 180: PC: 80002020, IR: 084000ef, jal ra,0x800020a4
                 181: PC: 800020a4, IR: 00062023, sw zero,0x0(a2)
                 182: PC: 800020a8, IR: 00251713, slli a4,a0,0x2
                 183: PC: 800020ac, IR: ffc70713, addi a4,a4,0x-4
                 184: PC: 800020b0, IR: 00e607b3, add a5,a2,a4
                 185: PC: 800020b4, IR: 0007a023, sw zero,0x0(a5)
                 186: PC: 800020b8, IR: 00200793, li a5,0x2
                 187: PC: 800020bc, IR: 06a7d463, bge a5,a0,0x80002124
                 188: PC: 800020c0, IR: 00460793, addi a5,a2,0x4
                 189: PC: 800020c4, IR: 00e60533, add a0,a2,a4
                 190: PC: 800020c8, IR: 02c0006f, j 800020f4
                 191: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 192: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 193: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 194: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 195: PC: 80002104, IR: fcc754e3, bge a4,a2,0x800020cc
                 196: PC: 80002108, IR: 00e7a023, sw a4,0x0(a5)
                 197: PC: 8000210c, IR: fddff06f, j 800020e8
                 198: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 199: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 200: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 201: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 202: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 203: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 204: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 205: PC: 80002104, IR: fcc754e3, bge a4,a2,0x800020cc
                 206: PC: 800020cc, IR: 00d65663, bge a2,a3,0x800020d8
                 207: PC: 800020d0, IR: 00d7a023, sw a3,0x0(a5)
                 208: PC: 800020d4, IR: 0140006f, j 800020e8
                 209: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 210: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 211: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 212: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 213: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 214: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 215: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 216: PC: 800020e0, IR: 02c6d863, bge a3,a2,0x80002110
                 217: PC: 80002110, IR: 00e65663, bge a2,a4,0x8000211c
                 218: PC: 8000211c, IR: 00c7a023, sw a2,0x0(a5)
                 219: PC: 80002120, IR: fc9ff06f, j 800020e8
                 220: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 221: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 222: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 223: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 224: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 225: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 226: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 227: PC: 80002104, IR: fcc754e3, bge a4,a2,0x800020cc
                 228: PC: 800020cc, IR: 00d65663, bge a2,a3,0x800020d8
                 229: PC: 800020d0, IR: 00d7a023, sw a3,0x0(a5)
                 230: PC: 800020d4, IR: 0140006f, j 800020e8
                 231: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 232: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 233: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 234: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 235: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 236: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 237: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 238: PC: 800020e0, IR: 02c6d863, bge a3,a2,0x80002110
                 239: PC: 80002110, IR: 00e65663, bge a2,a4,0x8000211c
                 240: PC: 8000211c, IR: 00c7a023, sw a2,0x0(a5)
                 241: PC: 80002120, IR: fc9ff06f, j 800020e8
                 242: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 243: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 244: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 245: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 246: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 247: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 248: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
                 249: PC: 80002104, IR: fcc754e3, bge a4,a2,0x800020cc
                 250: PC: 80002108, IR: 00e7a023, sw a4,0x0(a5)
                 251: PC: 8000210c, IR: fddff06f, j 800020e8
                 252: PC: 800020e8, IR: 00458593, addi a1,a1,0x4
                 253: PC: 800020ec, IR: 00478793, addi a5,a5,0x4
                 254: PC: 800020f0, IR: 02a78a63, beq a5,a0,0x80002124
                 255: PC: 800020f4, IR: 0005a683, lw a3,0x0(a1)
                 256: PC: 800020f8, IR: 0045a703, lw a4,0x4(a1)
                 257: PC: 800020fc, IR: 0085a603, lw a2,0x8(a1)
                 258: PC: 80002100, IR: fee6d0e3, bge a3,a4,0x800020e0
